"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10_1a","fin10_1b","fin10_1c","fin10_1d","fin10_1e","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"India","IND",192847399,1.52832544937396,1,35,1,2,1,1,1,1,0,2,1,2,,,2,2,2,,,,2,,2,1,1,1,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,9,,,1,2,2,2,2,,,,2,,,,,,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,1,1,1,,0,0,4,3,4,4,4,4,1,2,0,0
"India","IND",166380815,0.72554432547267,2,40,2,4,1,2,1,1,0,1,2,1,2,,2,2,2,,,,2,,1,,,,,,1,1,,,,,,,,,,,,,,2,,,2,1,2,,,,2,2,,2,2,2,2,,1,2,1,2,,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,3,3,,1,,0,0,4,4,4,4,4,1,1,1,1,0
"India","IND",201794195,0.343878082863141,2,39,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,1,1,1,,,,,,2,1,,,,,,,,,,1,1,2,1,1,1,,2,1,1,2,1,,2,2,2,2,1,1,1,,2,1,1,2,,,,1,1,,,1,2,1,1,,,2,,,,,,,1,2,1,2,,,2,,,,,,1,1,1,3,2,1,,1,1,4,1,4,4,1,1,1,1,1,1
"India","IND",205716733,0.585836826483899,2,27,1,3,1,1,1,1,0,2,1,2,,,2,2,2,,,,1,2,1,,,,,,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,6,1,1,2,,,,1,2,1,2,1,2,2,,,1,1,2,1,2,,,2,2,1,1,2,,,2,,,,,,3,3,1,1,4,1,,0,1,1,4,1,4,2,3,1,1,1,0
"India","IND",148105947,1.0855013817665,2,18,2,5,1,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,,,,,2,,,2,2,2,,,,2,2,,1,1,2,1,1,3,1,1,1,2,1,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,4,1,,1,1,4,4,4,4,4,3,1,1,0,0
"India","IND",125377846,1.59041997382743,2,18,3,5,2,2,1,1,0,2,1,1,1,1,1,1,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,,,,,1,1,,2,2,2,,,,2,1,,1,2,2,1,2,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,5,3,4,2,,2,,1,1,4,4,4,4,4,5,1,1,1,1
"India","IND",161943964,1.07185253170217,2,72,1,2,1,1,1,1,0,2,1,2,,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,1,2,,,2,,,,,,1,1,1,3,1,1,,0,0,4,4,1,4,2,5,2,2,1,0
"India","IND",120354334,0.489252010681707,1,36,2,2,2,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,1,2,1,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,4,5,1,1,0,0
"India","IND",147268368,0.999187344259757,1,40,1,2,2,2,1,1,0,2,1,2,,,2,2,2,,,,2,,2,2,2,1,1,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,5,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,4,5,1,2,0,0
"India","IND",206268666,0.541277335203165,1,41,2,4,1,1,1,1,0,1,2,2,,,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,1,2,1,2,2,2,2,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,2,1,,1,1,4,4,4,4,1,5,1,2,1,0
"India","IND",170637456,0.241130255504797,2,34,3,1,1,2,1,1,0,1,2,1,2,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,2,2,1,1,1,2,,,1,1,1,1,4,1,,0,1,4,3,4,1,4,5,1,1,1,0
"India","IND",129922164,0.217430070409543,2,27,3,5,2,1,1,1,1,1,2,1,1,1,1,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,1,1,2,1,1,2,,1,1,1,3,2,,2,1,1,2,2,2,2,,3,3,3,2,,,,2,,,,1,1,1,1,,,1,1,1,1,,,2,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,0,1,4,4,4,1,5,1,1,1,1
"India","IND",130723626,0.938719984007187,1,50,1,2,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,4,2,,,,2,,,,2,,,,,,1,3,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,2,4,4,4,4,5,2,2,0,0
"India","IND",121119050,1.0542772823105,2,50,1,1,1,1,1,1,0,1,1,1,2,,2,2,3,,,,2,,2,2,3,1,1,3,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,5,4,1,5,4,,0,0,4,4,4,4,4,5,1,2,0,0
"India","IND",201311110,2.29188517463033,1,47,1,3,1,1,1,1,0,1,2,2,,,2,2,3,,,,2,,2,2,1,2,2,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,2,1,,0,1,4,4,4,4,4,5,2,2,0,0
"India","IND",206423832,1.13987163120676,2,36,1,4,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,2,2,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,2,3,3,2,3,,0,0,4,4,4,4,1,5,1,1,1,0
"India","IND",192778021,0.896137706840224,2,21,3,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,9,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,5,1,1,0,0
"India","IND",172895364,0.281847103893852,2,32,2,4,1,1,1,1,1,1,2,2,,,2,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,1,1,,2,1,2,,,,2,2,,2,2,2,2,,3,3,4,2,,,,2,,,,2,,,,,,1,2,1,1,,,2,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,1,4,4,4,4,5,1,1,1,1
"India","IND",122784613,0.713816161686819,1,22,1,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,9,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,4,5,2,2,0,0
"India","IND",178171925,0.962267938053465,1,34,2,5,2,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,2,2,2,1,,3,2,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,3,2,1,,1,1,4,4,4,4,1,5,1,2,1,0
"India","IND",149416057,0.580448823671838,2,20,2,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,2,1,2,1,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,3,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,3,1,1,3,1,,1,1,2,4,4,4,2,5,1,1,0,0
"India","IND",154944871,0.716269503655658,1,46,1,3,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,1,1,2,,,2,,,,,,1,1,1,1,2,1,,0,1,4,1,1,4,2,5,2,2,1,0
"India","IND",170216640,0.728636780248885,1,48,1,4,1,2,1,1,0,1,2,1,1,2,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,6,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,2,2,2,2,2,,,,,,1,1,1,1,3,1,,0,1,4,4,3,4,4,5,2,2,1,0
"India","IND",189249850,0.839166722695181,1,60,1,4,1,1,1,1,0,2,1,1,2,,2,2,2,,,,2,,2,2,3,4,1,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,2,2,1,,2,,,,,,5,5,5,5,,3,,0,0,4,4,2,4,4,5,2,2,0,0
"India","IND",130756670,0.239488263521392,2,25,3,3,1,1,1,1,1,2,2,2,,,1,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,1,1,2,1,1,1,,2,2,2,,,,2,2,2,2,2,2,2,,3,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,2,2,1,,0,0,4,4,4,4,4,5,1,1,1,1
