wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,mobile,internet,wages_2,wages_3,wages_4,transfers_2,transfers_3,transfers_4,pension_2,pension_3,pension_4,agri_sale_2,agri_sale_3,agri_sale_4,utilities_2,utilities_3,utilities_4,remittances_2,remittances_3,remittances_4,age_sqrt
0.22,1,3,5,1,0,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.196152422706632
0.94,0,1,2,0,0,1,0,1,1,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.0710678118654755
1.05,1,1,1,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.0710678118654755
2.29,0,1,3,0,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.855654600401044
1.14,1,1,4,0,1,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,6.0
0.9,1,3,5,1,1,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
0.28,1,2,4,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.656854249492381
0.71,0,1,1,1,0,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.69041575982343
0.96,0,2,5,1,1,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.830951894845301
0.58,1,2,3,0,0,0,1,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,4.47213595499958
0.72,0,1,3,0,0,1,0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,6.782329983125268
0.73,0,1,4,0,1,1,0,1,1,1,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,6.928203230275509
0.84,0,1,4,0,0,1,0,0,1,1,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,7.745966692414834
0.24,1,3,3,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0
0.28,0,2,4,1,0,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.69041575982343
0.46,1,3,5,1,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,5.196152422706632
1.25,1,1,1,0,0,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.916079783099616
0.76,0,1,1,0,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,5.916079783099616
0.59,0,3,5,1,1,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0990195135927845
0.42,0,1,5,0,0,1,0,1,1,1,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,7.745966692414834
2.42,1,1,5,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.830951894845301
0.24,0,3,3,0,1,1,1,0,0,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,5.291502622129181
1.0,1,1,2,0,0,0,0,0,0,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.123105625617661
0.6,0,1,2,1,0,1,1,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.916079783099616
1.87,1,1,1,0,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,6.708203932499369
1.94,0,1,4,0,0,1,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,8.366600265340756
0.87,0,1,3,0,0,1,0,0,1,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,5.477225575051661
2.42,0,1,3,0,1,0,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,7.745966692414834
