wgt,gender,age,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet
0.28,2,28,3,3,1,1,0,0,0,4,4,4,4,4,5,1,2
1.11,1,38,1,1,2,1,1,0,1,4,4,4,4,4,5,1,2
0.92,2,35,1,1,2,1,1,0,1,4,4,4,4,4,5,1,2
0.49,1,45,1,4,1,1,1,0,0,4,4,4,4,4,5,1,2
0.9,2,65,1,4,1,2,0,0,1,2,3,4,4,2,3,1,2
0.94,2,18,2,3,1,1,1,0,0,4,4,4,4,4,5,1,1
0.53,2,42,2,1,1,1,1,0,1,4,4,4,4,4,5,1,2
1.03,1,49,1,3,2,2,1,1,0,4,4,4,4,2,5,2,2
0.99,1,19,1,3,1,1,1,0,0,4,4,4,4,2,5,1,1
0.55,2,23,3,5,1,2,1,1,1,4,4,4,4,4,5,1,1
1.61,2,40,1,2,1,1,1,1,1,4,4,4,1,2,5,1,2
0.92,2,57,1,2,1,1,1,0,0,4,4,4,4,4,5,1,2
0.34,2,50,2,5,1,2,0,1,1,4,4,4,4,2,5,2,2
0.34,2,50,2,5,1,1,1,1,1,4,4,4,4,2,5,1,1
0.7,1,23,3,3,1,1,1,0,0,5,4,4,4,2,5,1,2
0.63,2,23,2,1,1,1,1,0,0,4,4,4,4,1,3,1,2
2.42,2,60,2,2,1,1,1,0,1,2,1,4,1,1,1,1,1
0.81,1,55,1,4,2,1,1,1,0,1,1,1,4,1,5,1,2
0.41,2,24,2,4,2,1,1,0,0,4,4,4,4,3,5,1,1
0.38,2,26,3,4,1,1,1,0,1,2,4,4,4,2,5,1,1
0.78,2,42,3,4,2,2,1,1,1,4,4,3,3,4,5,1,1
1.91,1,42,1,5,1,2,1,0,1,1,4,4,4,2,3,2,2
0.9,1,30,1,2,2,1,0,0,1,4,4,4,4,4,5,1,2
2.01,1,19,1,3,2,1,0,0,1,4,4,4,4,4,1,2,2
1.56,2,29,1,4,1,2,1,1,1,2,4,4,4,1,5,1,1
2.42,2,67,1,2,2,2,0,0,0,4,5,4,4,2,5,1,2
0.49,1,45,1,3,2,1,1,0,1,4,4,4,4,4,5,2,2
0.65,1,46,1,3,1,2,1,0,1,4,4,4,4,3,5,1,2
0.9,2,22,2,2,1,1,1,1,0,2,4,4,2,4,5,1,1
0.27,2,50,2,3,2,1,1,0,1,4,4,4,4,4,5,2,2
1.19,2,21,3,5,2,2,0,0,0,4,4,4,4,4,5,1,1
0.9,1,30,1,1,2,1,1,0,1,5,4,4,4,4,5,1,2
1.17,1,26,1,5,1,1,1,1,1,4,4,4,4,3,5,1,1
1.1,2,42,1,5,2,1,0,0,0,4,4,4,4,4,5,2,2
0.94,1,65,1,1,2,1,1,0,0,4,4,4,4,2,5,2,2
0.89,2,52,1,2,1,1,1,0,1,3,4,4,4,4,5,1,2
1.18,2,17,2,5,1,1,1,0,0,4,4,4,4,4,5,1,1
0.67,2,70,2,2,2,1,1,1,1,4,1,1,1,3,5,1,2
1.4,1,33,1,3,1,1,0,0,1,4,4,4,4,4,5,2,2
0.92,1,23,2,1,2,1,1,0,0,4,1,4,4,4,5,2,2
0.95,1,28,1,4,2,2,0,0,0,4,4,4,4,3,5,2,2
0.86,2,65,1,3,2,1,1,0,1,4,1,4,4,4,5,2,2
1.06,2,55,1,3,1,2,1,0,1,4,4,4,2,4,5,2,2
0.22,2,45,2,4,1,2,1,1,1,4,4,4,4,4,5,1,1
0.48,2,55,2,1,1,2,1,0,1,4,4,1,4,4,5,2,2
0.51,2,37,3,3,1,2,1,1,0,1,4,4,4,1,1,1,1
0.39,1,30,2,4,2,2,1,0,1,4,4,4,4,2,5,1,2
1.04,2,15,1,1,2,1,1,1,1,4,1,4,4,4,5,1,3
1.23,1,25,1,2,2,2,0,0,1,4,4,4,4,2,5,2,2
0.79,1,23,2,1,1,1,1,1,1,4,4,4,4,4,5,1,1
0.72,1,28,1,3,1,1,1,1,1,4,4,4,4,4,4,1,2
0.96,2,38,1,2,1,1,1,0,1,2,4,4,4,2,5,1,2
2.29,2,45,1,4,1,2,0,0,0,4,4,4,4,3,5,1,1
1.32,2,55,1,4,1,2,1,0,1,4,4,4,4,4,4,1,1
0.23,2,33,2,1,2,1,1,1,1,4,4,4,2,4,1,1,2
2.42,1,27,1,2,2,2,1,0,1,4,4,4,4,4,5,2,2
0.54,1,30,2,2,2,2,0,0,0,4,4,4,4,2,5,2,2
1.6,2,18,1,3,1,1,1,1,0,4,4,4,4,4,5,1,1
0.73,2,31,1,3,1,1,1,0,0,4,4,4,4,4,5,2,2
0.94,2,20,2,4,2,1,0,0,1,4,4,4,4,2,3,1,2
0.76,1,36,1,2,1,1,1,0,1,4,4,4,2,4,5,1,2
1.16,2,45,1,1,1,1,1,1,1,3,1,4,2,2,5,1,2
0.49,1,51,1,3,2,2,1,0,0,4,4,4,4,4,5,2,2
0.38,2,20,2,5,1,2,1,1,1,4,4,4,4,1,5,1,1
0.73,1,48,1,4,2,2,1,0,1,1,4,4,2,3,5,1,2
1.76,1,26,1,2,2,1,1,0,1,4,4,4,4,4,5,1,2
0.63,2,52,1,2,1,1,1,0,0,4,4,4,4,4,5,1,2
2.42,1,16,2,4,2,2,1,0,0,5,4,4,4,4,5,2,2
0.87,1,30,1,2,1,1,1,0,0,3,4,4,4,4,5,1,1
0.93,1,27,1,1,1,1,1,1,1,4,4,4,4,4,5,2,2
