wgt,gender,age,ed_lvl,income_q,employed,rural,account,savings,loans,mobile,internet,wages_2,wages_3,wages_4,transfers_2,transfers_3,transfers_4,pension_2,pension_3,pension_4,agri_sale_2,agri_sale_3,agri_sale_4,utilities_2,utilities_3,utilities_4,remittances_2,remittances_3,remittances_4,age_sqrt
1.59,1,18,3,5,1,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.242640687119285
1.07,1,72,1,2,0,0,1,0,0,1,1,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,8.48528137423857
0.49,0,36,2,2,1,1,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.0
1.0,0,40,1,2,1,1,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.324555320336759
0.54,0,41,2,4,0,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,6.4031242374328485
0.24,1,34,3,1,0,1,1,0,1,0,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,5.830951894845301
0.22,1,27,3,5,1,0,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.196152422706632
0.94,0,50,1,2,0,0,1,0,1,1,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.0710678118654755
1.05,1,50,1,1,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.0710678118654755
2.29,0,47,1,3,0,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.855654600401044
1.14,1,36,1,4,0,1,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,6.0
0.9,1,21,3,5,1,1,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
0.28,1,32,2,4,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.656854249492381
0.71,0,22,1,1,1,0,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.69041575982343
0.96,0,34,2,5,1,1,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.830951894845301
0.58,1,20,2,3,0,0,0,1,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,4.47213595499958
0.72,0,46,1,3,0,0,1,0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,6.782329983125268
0.73,0,48,1,4,0,1,1,0,1,1,1,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,6.928203230275509
0.84,0,60,1,4,0,0,1,0,0,1,1,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,7.745966692414834
0.24,1,25,3,3,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0
0.28,0,22,2,4,1,0,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.69041575982343
0.46,1,27,3,5,1,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,5.196152422706632
1.25,1,35,1,1,0,0,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.916079783099616
0.76,0,35,1,1,0,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,5.916079783099616
0.59,0,26,3,5,1,1,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0990195135927845
0.42,0,60,1,5,0,0,1,0,1,1,1,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,7.745966692414834
2.42,1,34,1,5,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.830951894845301
0.24,0,28,3,3,0,1,1,1,0,0,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,5.291502622129181
1.0,1,17,1,2,0,0,0,0,0,0,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.123105625617661
0.6,0,35,1,2,1,0,1,1,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.916079783099616
1.87,1,45,1,1,0,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,6.708203932499369
1.94,0,70,1,4,0,0,1,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,8.366600265340756
0.87,0,30,1,3,0,0,1,0,0,1,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,5.477225575051661
2.42,0,60,1,3,0,1,0,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,7.745966692414834
1.14,1,45,1,1,0,1,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708203932499369
1.8,1,55,1,1,0,0,1,0,0,0,1,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.416198487095663
0.22,1,35,2,2,0,0,1,1,1,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,5.916079783099616
0.59,1,32,3,5,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,5.656854249492381
0.54,0,42,2,4,0,0,1,1,1,0,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,6.48074069840786
0.46,1,18,2,3,0,1,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.242640687119285
0.9,1,30,1,2,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.477225575051661
1.57,1,21,2,4,1,0,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
0.28,1,28,3,3,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.291502622129181
1.11,0,38,1,1,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.164414002968976
0.92,1,35,1,1,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.916079783099616
0.49,0,45,1,4,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708203932499369
0.9,1,65,1,4,0,1,0,0,1,0,1,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,8.06225774829855
0.94,1,18,2,3,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.242640687119285
0.53,1,42,2,1,0,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.48074069840786
1.03,0,49,1,3,1,1,1,1,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.0
0.99,0,19,1,3,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,4.358898943540674
0.55,1,23,3,5,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.795831523312719
1.61,1,40,1,2,0,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,6.324555320336759
0.92,1,57,1,2,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.54983443527075
0.34,1,50,2,5,0,1,0,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.0710678118654755
0.34,1,50,2,5,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.0710678118654755
0.63,1,23,2,1,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,4.795831523312719
2.42,1,60,2,2,0,0,1,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.745966692414834
0.81,0,55,1,4,1,0,1,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,7.416198487095663
0.41,1,24,2,4,1,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,4.898979485566356
0.38,1,26,3,4,0,0,1,0,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.0990195135927845
0.78,1,42,3,4,1,1,1,1,1,0,0,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,6.48074069840786
1.91,0,42,1,5,0,1,1,0,1,1,1,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,6.48074069840786
0.9,0,30,1,2,1,0,0,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.477225575051661
2.01,0,19,1,3,1,0,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,4.358898943540674
1.56,1,29,1,4,0,1,1,1,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.385164807134504
0.49,0,45,1,3,1,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708203932499369
0.65,0,46,1,3,0,1,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,6.782329983125268
0.9,1,22,2,2,0,0,1,1,0,0,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,4.69041575982343
0.27,1,50,2,3,1,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.0710678118654755
1.19,1,21,3,5,1,1,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
1.17,0,26,1,5,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,5.0990195135927845
1.1,1,42,1,5,1,0,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.48074069840786
0.94,0,65,1,1,1,0,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,8.06225774829855
0.89,1,52,1,2,0,0,1,0,1,0,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.211102550927978
1.18,1,17,2,5,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.123105625617661
0.67,1,70,2,2,1,0,1,1,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,8.366600265340756
1.4,0,33,1,3,0,0,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.744562646538029
0.92,0,23,2,1,1,0,1,0,0,1,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,4.795831523312719
0.95,0,28,1,4,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,5.291502622129181
0.86,1,65,1,3,1,0,1,0,1,1,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,8.06225774829855
1.06,1,55,1,3,0,1,1,0,1,1,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,7.416198487095663
0.22,1,45,2,4,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708203932499369
0.48,1,55,2,1,0,1,1,0,1,1,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,7.416198487095663
0.51,1,37,3,3,0,1,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,6.082762530298219
0.39,0,30,2,4,1,1,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.477225575051661
1.23,0,25,1,2,1,1,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.0
0.79,0,23,2,1,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.795831523312719
0.72,0,28,1,3,0,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,5.291502622129181
0.96,1,38,1,2,0,0,1,0,1,0,1,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,6.164414002968976
2.29,1,45,1,4,0,1,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,6.708203932499369
1.32,1,55,1,4,0,1,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,7.416198487095663
0.23,1,33,2,1,1,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,5.744562646538029
2.42,0,27,1,2,1,1,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.196152422706632
0.54,0,30,2,2,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.477225575051661
1.6,1,18,1,3,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.242640687119285
0.73,1,31,1,3,0,0,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.5677643628300215
0.94,1,20,2,4,1,0,0,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,4.47213595499958
0.76,0,36,1,2,0,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,6.0
1.16,1,45,1,1,0,0,1,1,1,0,1,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,6.708203932499369
0.49,0,51,1,3,1,1,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.14142842854285
0.38,1,20,2,5,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,4.47213595499958
0.73,0,48,1,4,1,1,1,0,1,0,1,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,6.928203230275509
1.76,0,26,1,2,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0990195135927845
0.63,1,52,1,2,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.211102550927978
0.87,0,30,1,2,0,0,1,0,0,0,0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.477225575051661
0.93,0,27,1,1,0,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.196152422706632
0.99,0,23,1,2,1,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,4.795831523312719
0.86,0,45,1,5,0,0,1,0,1,0,1,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,6.708203932499369
2.11,0,21,1,3,1,1,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
0.61,1,44,2,5,0,1,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,6.6332495807108
0.38,1,20,2,3,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,4.47213595499958
0.36,0,32,2,3,0,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.656854249492381
0.84,0,35,1,2,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.916079783099616
1.1,0,20,1,1,0,0,1,0,1,1,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.47213595499958
1.08,1,34,1,3,1,1,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.830951894845301
0.92,0,40,1,4,0,0,1,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,6.324555320336759
0.61,1,39,2,4,0,1,1,1,1,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,6.244997998398398
0.86,0,45,1,1,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,6.708203932499369
0.8,1,21,3,1,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,4.58257569495584
0.32,1,56,2,2,1,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.483314773547883
0.8,0,42,1,2,1,0,1,1,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,6.48074069840786
1.33,0,42,1,4,1,1,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.48074069840786
0.45,1,45,2,5,0,0,1,1,1,0,1,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,6.708203932499369
1.46,1,20,2,3,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,4.47213595499958
0.22,0,25,3,4,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,5.0
0.41,1,21,2,5,0,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
1.52,1,37,2,5,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.082762530298219
0.45,1,35,2,3,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,5.916079783099616
1.02,1,29,3,5,0,1,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.385164807134504
0.58,1,37,2,3,0,1,0,1,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,6.082762530298219
0.66,1,19,2,4,1,1,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.358898943540674
1.56,0,26,1,5,0,1,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0990195135927845
0.33,1,32,2,3,0,0,1,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,5.656854249492381
0.61,0,36,3,5,0,1,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,6.0
0.62,0,45,1,2,0,0,1,0,1,1,1,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,6.708203932499369
2.42,0,44,2,5,0,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.6332495807108
1.43,0,60,1,4,0,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.745966692414834
0.7,0,25,3,2,0,0,1,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,5.0
0.94,1,40,1,4,0,1,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.324555320336759
0.48,1,40,2,3,0,1,1,0,0,1,1,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,6.324555320336759
0.22,1,22,2,5,0,1,0,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,4.69041575982343
0.87,1,55,1,1,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.416198487095663
0.22,1,21,2,4,0,0,1,0,1,0,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
0.22,1,38,2,4,0,0,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.164414002968976
0.22,1,22,2,4,1,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,4.69041575982343
0.96,1,55,2,4,0,1,1,0,0,0,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.416198487095663
1.15,0,15,2,1,1,0,1,0,0,1,1,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,3.872983346207417
1.19,1,19,2,5,1,1,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,4.358898943540674
0.95,1,52,2,5,0,1,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.211102550927978
1.53,1,21,1,2,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.58257569495584
0.22,1,48,3,5,1,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.928203230275509
0.53,1,34,2,5,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,5.830951894845301
0.83,1,25,1,5,0,1,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0
0.73,1,28,1,3,1,0,1,0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,5.291502622129181
0.94,0,45,1,4,1,0,1,0,0,1,1,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,6.708203932499369
0.55,0,51,2,4,1,0,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.14142842854285
