wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,mobile,internet,wages_2,wages_3,wages_4,transfers_2,transfers_3,transfers_4,pension_2,pension_3,pension_4,agri_sale_2,agri_sale_3,agri_sale_4,utilities_2,utilities_3,utilities_4,remittances_2,remittances_3,remittances_4,age_sqrt
0.38,1,3,4,0,0,1,0,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.099
0.78,1,3,4,1,1,1,1,1,0,0,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,6.481
1.91,0,1,5,0,1,1,0,1,1,1,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,6.481
0.9,0,1,2,1,0,0,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.477
2.01,0,1,3,1,0,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,4.359
1.56,1,1,4,0,1,1,1,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.385
0.49,0,1,3,1,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708
0.65,0,1,3,0,1,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,6.782
0.9,1,2,2,0,0,1,1,0,0,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,4.69
0.27,1,2,3,1,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.071
1.19,1,3,5,1,1,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.583
1.17,0,1,5,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,5.099
1.1,1,1,5,1,0,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.481
0.94,0,1,1,1,0,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,8.062
0.89,1,1,2,0,0,1,0,1,0,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.211
1.18,1,2,5,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.123
0.67,1,2,2,1,0,1,1,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,8.367
1.4,0,1,3,0,0,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.745
0.92,0,2,1,1,0,1,0,0,1,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,4.796
0.95,0,1,4,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,5.292
0.86,1,1,3,1,0,1,0,1,1,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,8.062
1.06,1,1,3,0,1,1,0,1,1,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,7.416
0.22,1,2,4,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708
0.48,1,2,1,0,1,1,0,1,1,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,7.416
0.51,1,3,3,0,1,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,6.083
0.39,0,2,4,1,1,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.477
1.23,0,1,2,1,1,0,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.0
0.79,0,2,1,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.796
0.72,0,1,3,0,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,5.292
0.96,1,1,2,0,0,1,0,1,0,1,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,6.164
2.29,1,1,4,0,1,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,6.708
1.32,1,1,4,0,1,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,7.416
0.23,1,2,1,1,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,5.745
2.42,0,1,2,1,1,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.196
0.54,0,2,2,1,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.477
1.6,1,1,3,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.243
0.73,1,1,3,0,0,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.568
0.94,1,2,4,1,0,0,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,4.472
0.76,0,1,2,0,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,6.0
1.16,1,1,1,0,0,1,1,1,0,1,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,6.708
0.49,0,1,3,1,1,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.141
0.38,1,2,5,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,4.472
0.73,0,1,4,1,1,1,0,1,0,1,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,6.928
1.76,0,1,2,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.099
0.63,1,1,2,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.211
0.87,0,1,2,0,0,1,0,0,0,0,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.477
0.93,0,1,1,0,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.196
0.99,0,1,2,1,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,4.796
0.86,0,1,5,0,0,1,0,1,0,1,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,6.708
2.11,0,1,3,1,1,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.583
0.61,1,2,5,0,1,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,6.633
0.38,1,2,3,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,4.472
0.36,0,2,3,0,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.657
0.84,0,1,2,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.916
1.1,0,1,1,0,0,1,0,1,1,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.472
1.08,1,1,3,1,1,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.831
0.92,0,1,4,0,0,1,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,6.325
0.61,1,2,4,0,1,1,1,1,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,6.245
0.86,0,1,1,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,6.708
0.8,1,3,1,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,4.583
0.32,1,2,2,1,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.483
0.8,0,1,2,1,0,1,1,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,6.481
1.33,0,1,4,1,1,1,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.481
0.45,1,2,5,0,0,1,1,1,0,1,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,6.708
1.46,1,2,3,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,4.472
0.22,0,3,4,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,5.0
0.41,1,2,5,0,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.583
1.52,1,2,5,0,0,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.083
0.45,1,2,3,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,5.916
1.02,1,3,5,0,1,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.385
0.58,1,2,3,0,1,0,1,1,0,0,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,6.083
0.66,1,2,4,1,1,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.359
1.56,0,1,5,0,1,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.099
0.33,1,2,3,0,0,1,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,5.657
0.61,0,3,5,0,1,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,6.0
0.62,0,1,2,0,0,1,0,1,1,1,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,6.708
2.42,0,2,5,0,1,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.633
1.43,0,1,4,0,0,1,0,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.746
0.7,0,3,2,0,0,1,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,5.0
0.94,1,1,4,0,1,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.325
0.48,1,2,3,0,1,1,0,0,1,1,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,6.325
0.22,1,2,5,0,1,0,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,4.69
0.87,1,1,1,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.416
0.22,1,2,4,0,0,1,0,1,0,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.583
0.22,1,2,4,0,0,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.164
0.22,1,2,4,1,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,4.69
0.96,1,2,4,0,1,1,0,0,0,0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.416
1.15,0,2,1,1,0,1,0,0,1,1,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,3.873
1.19,1,2,5,1,1,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,4.359
0.95,1,2,5,0,1,1,1,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.211
1.53,1,1,2,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.583
0.22,1,3,5,1,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.928
0.53,1,2,5,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,5.831
0.83,1,1,5,0,1,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0
0.73,1,1,3,1,0,1,0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,5.292
0.94,0,1,4,1,0,1,0,0,1,1,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,6.708
0.55,0,2,4,1,0,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.141
0.78,1,2,3,0,1,1,1,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.657
0.22,1,2,4,0,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0
0.23,1,2,2,1,0,1,0,0,0,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.385
0.22,1,2,4,0,0,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.243
0.63,1,2,5,1,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,5.831
1.3,1,1,4,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,7.81
1.31,0,2,5,1,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,4.472
0.93,1,1,3,0,0,1,0,1,0,1,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,7.0
0.99,1,1,3,0,0,1,0,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,5.385
0.95,0,2,4,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,5.292
1.15,0,1,1,1,1,1,0,0,0,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.164
1.13,1,2,1,1,0,0,0,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.123
0.92,0,1,5,1,1,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.0
2.13,0,1,5,0,0,1,1,1,1,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,6.325
0.44,0,3,1,0,1,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,4.899
2.42,1,1,2,1,0,1,0,0,1,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,8.367
