wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,wages,transfers,pension,agri_sale,utilities,remittances,mobile,internet,age_sqrt
0.42,0,0.0,1.0,0,0,1,0,1,1,1,0,1,1,1,1,1,0.7994079677421027
2.42,1,0.0,1.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0.4041369452058934
0.24,0,1.0,0.5,0,1,1,1,0,1,0,1,1,0,0,0,0,0.29279124390711675
1.0,1,0.0,0.25,0,0,0,0,0,0,1,1,1,1,1,0,1,0.05162680166599842
0.6,0,0.0,0.25,1,0,1,1,0,1,1,1,1,0,1,0,1,0.42170787336756455
1.87,1,0.0,0.0,0,0,1,0,1,1,1,1,0,0,1,1,1,0.5852072483626012
1.94,0,0.0,0.75,0,0,1,1,0,1,0,0,1,1,1,0,1,0.9275106159838182
0.87,0,0.0,0.5,0,0,1,0,0,1,0,1,0,1,1,1,1,0.33112562210789265
2.42,0,0.0,0.5,0,1,0,0,1,1,1,1,1,1,0,0,1,0.7994079677421027
1.14,1,0.0,0.0,0,1,1,0,0,1,1,1,1,1,1,0,1,0.5852072483626012
1.8,1,0.0,0.0,0,0,1,0,0,0,1,1,1,0,1,0,1,0.7313417492032841
0.22,1,0.5,0.25,0,0,1,1,1,1,0,0,1,1,1,0,1,0.42170787336756455
0.59,1,1.0,1.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.36820210314246227
0.54,0,0.5,0.75,0,0,1,1,1,0,1,1,1,0,1,0,1,0.5382574152632154
0.46,1,0.5,0.5,0,1,1,1,0,1,1,1,1,1,1,0,0,0.07629958542132087
0.9,1,0.0,0.25,0,0,1,0,0,1,1,1,1,0,1,0,1,0.33112562210789265
1.57,1,0.5,0.75,1,0,0,0,0,1,1,1,1,1,1,0,0,0.14646429553945794
0.28,1,1.0,0.5,0,0,0,0,0,1,1,1,1,1,1,0,1,0.29279124390711675
1.11,0,0.0,0.0,1,0,1,0,1,1,1,1,1,1,1,0,1,0.47296560836944224
0.92,1,0.0,0.0,1,0,1,0,1,1,1,1,1,1,1,0,1,0.42170787336756455
0.49,0,0.0,0.75,0,0,1,0,0,1,1,1,1,1,1,0,1,0.5852072483626012
0.9,1,0.0,0.75,0,1,0,0,1,0,0,1,1,0,0,0,1,0.8646924184089513
0.94,1,0.5,0.5,0,0,1,0,0,1,1,1,1,1,1,0,0,0.07629958542132087
0.53,1,0.5,0.0,0,0,1,0,1,1,1,1,1,1,1,0,1,0.5382574152632154
1.03,0,0.0,0.5,1,1,1,1,0,1,1,1,1,0,1,1,1,0.6454357803402144
0.99,0,0.0,0.5,0,0,1,0,0,1,1,1,1,0,1,0,0,0.10029601612894867
0.55,1,1.0,1.0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.1904816313028227
1.61,1,0.0,0.25,0,0,1,1,1,1,1,1,0,0,1,0,1,0.5060197771135149
0.92,1,0.0,0.25,0,0,1,0,0,1,1,1,1,1,1,0,1,0.758925044094688
0.34,1,0.5,1.0,0,1,0,1,1,1,1,1,1,0,1,1,1,0.6601046208636034
0.34,1,0.5,1.0,0,0,1,1,1,1,1,1,1,0,1,0,0,0.6601046208636034
0.63,1,0.5,0.0,0,0,1,0,0,1,1,1,1,0,0,0,1,0.1904816313028227
2.42,1,0.5,0.25,0,0,1,0,1,0,0,1,0,0,0,0,0,0.7994079677421027
